key,trades,wins,losses,win_rate,net_pnl,gross_pnl,total_fee,total_slippage,avg_net_pnl,avg_expected_edge_bps,avg_actual_edge_bps,avg_bars_held
passed:15m_trend_bearish,295,64,231,21.694915,-2188.160016,-348.759527,821.886328,1017.514160,-7.417492,36.816848,-21.236512,6.291525
passed:15m_trend_bullish,251,52,199,20.717131,-2221.472343,-482.748224,773.658172,965.065946,-8.850487,31.043962,-22.883053,7.780876
passed:1m_ema_alignment_long,251,52,199,20.717131,-2221.472343,-482.748224,773.658172,965.065946,-8.850487,31.043962,-22.883053,7.780876
passed:1m_ema_alignment_short,295,64,231,21.694915,-2188.160016,-348.759527,821.886328,1017.514160,-7.417492,36.816848,-21.236512,6.291525
passed:5m_confirmation_bearish,295,64,231,21.694915,-2188.160016,-348.759527,821.886328,1017.514160,-7.417492,36.816848,-21.236512,6.291525
passed:5m_confirmation_bullish,251,52,199,20.717131,-2221.472343,-482.748224,773.658172,965.065946,-8.850487,31.043962,-22.883053,7.780876
passed:atr_bps_in_range,546,116,430,21.245421,-4409.632359,-831.507751,1595.544501,1982.580107,-8.076250,34.163012,-21.993439,6.976190
passed:close_reclaim_long,251,52,199,20.717131,-2221.472343,-482.748224,773.658172,965.065946,-8.850487,31.043962,-22.883053,7.780876
passed:close_reclaim_short,295,64,231,21.694915,-2188.160016,-348.759527,821.886328,1017.514160,-7.417492,36.816848,-21.236512,6.291525
passed:confidence_ok,546,116,430,21.245421,-4409.632359,-831.507751,1595.544501,1982.580107,-8.076250,34.163012,-21.993439,6.976190
passed:direction_enabled,546,116,430,21.245421,-4409.632359,-831.507751,1595.544501,1982.580107,-8.076250,34.163012,-21.993439,6.976190
passed:expected_net_edge_ok,546,116,430,21.245421,-4409.632359,-831.507751,1595.544501,1982.580107,-8.076250,34.163012,-21.993439,6.976190
passed:expected_reward_ok,546,116,430,21.245421,-4409.632359,-831.507751,1595.544501,1982.580107,-8.076250,34.163012,-21.993439,6.976190
passed:pullback_near_ema21,527,109,418,20.683112,-4385.182256,-882.777747,1558.982016,1943.422494,-8.321029,33.381252,-22.249284,7.072106
passed:pullback_near_vwap,19,7,12,36.842105,-24.450103,51.269995,36.562485,39.157613,-1.286848,55.846567,-14.897104,4.315789
passed:reward_risk_ok,546,116,430,21.245421,-4409.632359,-831.507751,1595.544501,1982.580107,-8.076250,34.163012,-21.993439,6.976190
passed:volume_ratio_ok,546,116,430,21.245421,-4409.632359,-831.507751,1595.544501,1982.580107,-8.076250,34.163012,-21.993439,6.976190
