month,trades,wins,losses,win_rate,gross_pnl,fee,slippage,total_cost,net_pnl,profit_factor,avg_win,avg_loss,expectancy,max_consecutive_losses,avg_reward_risk,avg_expected_edge_bps,avg_actual_edge_bps,avg_edge_realization_bps,avg_total_cost_bps,take_profit_count,stop_loss_count,time_exit_count,end_of_backtest_count
2024-01,47,9,38,19.148936,-203.220525,305.269133,382.184135,687.453267,-890.673792,0.589161,20.687525,-28.338461,-18.950506,10,3.000000,33.102569,-24.367945,-57.470514,18.039129,9,38,0,0
2024-02,26,6,20,23.076923,-57.603939,149.476366,182.721919,332.198285,-389.802225,0.743406,17.164180,-24.639365,-14.992393,11,3.000000,29.919448,-21.715320,-51.634768,17.846456,6,20,0,0
2024-03,90,19,71,21.111111,-218.433636,368.471610,457.646394,826.118003,-1044.551639,0.656369,14.730454,-18.653947,-11.606129,14,3.000000,37.637556,-23.169164,-60.806720,17.943552,19,71,0,0
2024-04,51,12,39,23.529412,-63.128179,166.825191,206.888707,373.713898,-436.842076,0.768668,12.240919,-14.967516,-8.565531,8,3.000000,36.325897,-19.756745,-56.082642,17.823564,11,39,1,0
2024-05,33,9,24,27.272727,-10.126201,103.543930,125.490334,229.034264,-239.160465,0.931239,9.988877,-13.710848,-7.247287,15,3.000000,32.201390,-17.473055,-49.674444,17.636984,9,24,0,0
2024-06,15,1,14,6.666667,-63.840689,45.430290,60.197739,105.628029,-169.468718,0.178975,7.634614,-12.650238,-11.297915,12,3.000000,27.260613,-31.166101,-58.426714,18.674161,1,14,0,0
2024-07,48,12,36,25.000000,-30.763065,124.261270,151.466990,275.728259,-306.491324,0.824700,7.537000,-11.025981,-6.385236,8,3.000000,30.259439,-20.150953,-50.410392,17.750391,12,36,0,0
2024-08,63,16,47,25.396825,-25.027861,115.513068,141.862434,257.375502,-282.403363,0.865022,7.058444,-8.411457,-4.482593,11,3.000000,42.086128,-17.672993,-59.759121,17.729358,16,47,0,0
2024-09,35,7,28,20.000000,-35.929992,58.349562,73.701438,132.051001,-167.980992,0.613809,5.546889,-7.386043,-4.799457,8,3.000000,31.340497,-21.669102,-53.009600,18.003271,7,28,0,0
2024-10,33,4,29,12.121212,-54.456244,49.660203,64.042940,113.703144,-168.159388,0.340964,4.074049,-6.360537,-5.095739,9,3.000000,27.852926,-28.315126,-56.168051,18.392876,4,29,0,0
2024-11,49,8,41,16.326531,-47.846941,57.480664,73.124188,130.604852,-178.451792,0.502265,3.961140,-5.125388,-3.641873,22,3.000000,33.317550,-25.384228,-58.701778,18.181517,8,41,0,0
2024-12,56,13,43,23.214286,-21.130479,51.263215,63.252889,114.516105,-135.646584,0.735869,2.971631,-4.052972,-2.422260,9,3.000000,33.128917,-20.434204,-53.563121,17.839339,13,43,0,0
