trade_id,signal_id,month,symbol,strategy_id,regime,side,entry_time,exit_time,duration_ms,entry_price,exit_price,stop_loss,take_profit,qty,gross_pnl,fee,slippage,total_cost,net_pnl,reward_risk,bars_held,exit_reason,expected_edge_bps,actual_edge_bps,edge_realization_bps,fee_bps,slippage_bps,total_cost_bps,net_pnl_bps,filters_passed,filters_failed,entry_reason
TRD-SIG-BT-00000001,SIG-BT-00000001,2024-01,BTCUSDT,ema_trend_pullback_v1,bullish,long,1704165840000,1704165960000,120000,45354.069000,45291.438266,45300.498366,45514.780903,0.233337,-14.614055,8.460373,11.638127,20.098500,-34.712554,3.000000,3,stop_loss,22.434947,-32.801001,-55.235948,7.994476,10.997238,18.991714,-32.801001,15m_trend_bullish|5m_confirmation_bullish|1m_ema_alignment_long|pullback_near_ema21|close_reclaim_long|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,etp_bullish_pullback_near_ema21_close_reclaim
TRD-SIG-BT-00000002,SIG-BT-00000002,2024-01,BTCUSDT,ema_trend_pullback_v1,bullish,long,1704167160000,1704167220000,60000,45473.692920,45413.710991,45422.795551,45626.385028,0.243887,-14.628827,8.866511,12.196572,21.063083,-35.691910,3.000000,2,stop_loss,20.578119,-32.182553,-52.760672,7.994724,10.997362,18.992085,-32.182553,15m_trend_bullish|5m_confirmation_bullish|1m_ema_alignment_long|pullback_near_ema21|close_reclaim_long|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,etp_bullish_pullback_near_ema21_close_reclaim
TRD-SIG-BT-00000003,SIG-BT-00000003,2024-01,BTCUSDT,ema_trend_pullback_v1,bullish,long,1704182460000,1704182580000,120000,45540.006180,45483.731156,45492.829722,45681.535554,0.261232,-14.700823,9.511316,13.083205,22.594521,-37.295344,3.000000,3,stop_loss,18.078031,-31.349857,-49.427888,7.995057,10.997528,18.992585,-31.349857,15m_trend_bullish|5m_confirmation_bullish|1m_ema_alignment_long|pullback_near_ema21|close_reclaim_long|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,etp_bullish_pullback_near_ema21_close_reclaim
TRD-SIG-BT-00000004,SIG-BT-00000004,2024-01,BTCUSDT,ema_trend_pullback_v1,bullish,long,1704184560000,1704184980000,420000,45766.851540,45680.609131,45689.747080,45998.164919,0.158626,-13.680264,5.802368,7.983043,13.785411,-27.465675,3.000000,8,stop_loss,37.541685,-37.832552,-75.374237,7.992462,10.996231,18.988693,-37.832552,15m_trend_bullish|5m_confirmation_bullish|1m_ema_alignment_long|pullback_near_ema21|close_reclaim_long|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,etp_bullish_pullback_near_ema21_close_reclaim
TRD-SIG-BT-00000005,SIG-BT-00000005,2024-01,BTCUSDT,ema_trend_pullback_v1,bearish,short,1704294000000,1704294000000,0,42195.659180,42271.328227,42262.875652,41994.009764,0.180939,-13.691487,6.113351,8.401066,14.514417,-28.205905,3.000000,1,stop_loss,34.789138,-36.943658,-71.732795,8.007173,11.003586,19.010759,-36.943658,15m_trend_bearish|5m_confirmation_bearish|1m_ema_alignment_short|pullback_near_ema21|close_reclaim_short|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,etp_bearish_pullback_near_ema21_close_reclaim
TRD-SIG-BT-00000006,SIG-BT-00000006,2024-01,BTCUSDT,ema_trend_pullback_v1,bullish,long,1704404340000,1704404340000,0,44381.874600,44311.409099,44320.273154,44566.678938,0.196287,-13.831471,6.963740,9.579984,16.543724,-30.375195,3.000000,1,stop_loss,28.639597,-34.867563,-63.507160,7.993649,10.996824,18.990473,-34.867563,15m_trend_bullish|5m_confirmation_bullish|1m_ema_alignment_long|pullback_near_ema21|close_reclaim_long|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,etp_bullish_pullback_near_ema21_close_reclaim
TRD-SIG-BT-00000007,SIG-BT-00000007,2024-01,BTCUSDT,ema_trend_pullback_v1,bullish,long,1704448140000,1704448140000,0,44141.026440,44087.863763,44096.683100,44274.056461,0.270968,-14.405393,9.562888,13.154013,22.716901,-37.122294,3.000000,1,stop_loss,17.137501,-31.036598,-48.174098,7.995182,10.997591,18.992773,-31.036598,15m_trend_bullish|5m_confirmation_bullish|1m_ema_alignment_long|pullback_near_ema21|close_reclaim_long|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,etp_bullish_pullback_near_ema21_close_reclaim
TRD-SIG-BT-00000008,SIG-BT-00000008,2024-01,BTCUSDT,ema_trend_pullback_v1,bearish,short,1704474180000,1704474540000,360000,43316.035060,43106.741194,43388.672890,43098.121570,0.164141,34.353652,5.674200,4.259087,9.933286,24.420366,3.000000,7,take_profit,37.307811,34.346861,-2.960950,7.980673,5.990339,13.971011,34.346861,15m_trend_bearish|5m_confirmation_bearish|1m_ema_alignment_short|pullback_near_ema21|close_reclaim_short|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,etp_bearish_pullback_near_ema21_close_reclaim
TRD-SIG-BT-00000009,SIG-BT-00000009,2024-01,BTCUSDT,ema_trend_pullback_v1,bullish,long,1704719160000,1704719940000,780000,45025.403280,44938.549390,44947.538898,45258.996426,0.153907,-13.367428,5.538435,7.620027,13.158462,-26.525889,3.000000,14,stop_loss,38.880301,-38.278400,-77.158701,7.992284,10.996141,18.988425,-38.278400,15m_trend_bullish|5m_confirmation_bullish|1m_ema_alignment_long|pullback_near_ema21|close_reclaim_long|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,etp_bullish_pullback_near_ema21_close_reclaim
TRD-SIG-BT-0000000A,SIG-BT-0000000A,2024-01,BTCUSDT,ema_trend_pullback_v1,bullish,long,1704728760000,1704728880000,120000,45018.301860,44887.844961,44896.824326,45382.734463,0.098105,-12.798485,3.528100,4.855617,8.383717,-21.182202,3.000000,3,stop_loss,67.952099,-47.961248,-115.913347,7.988409,10.994203,18.982612,-47.961248,15m_trend_bullish|5m_confirmation_bullish|1m_ema_alignment_long|pullback_near_ema21|close_reclaim_long|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,etp_bullish_pullback_near_ema21_close_reclaim
