trade_id,signal_id,symbol,strategy_id,regime,side,entry_time,exit_time,entry_price,exit_price,stop_loss,take_profit,qty,gross_pnl,fee,slippage,net_pnl,reward_risk,bars_held,exit_reason,entry_reason,filters_passed,filters_failed,expected_edge_bps,actual_edge_bps
TRD-SIG-BT-00000001,SIG-BT-00000001,BTCUSDT,ema_trend_pullback_v1,bullish,long,1704165840000,1704165960000,45354.069000,45291.438266,45300.498366,45514.780903,0.23333679,-14.614055,8.460373,11.638127,-34.712554,3.000000,3,stop_loss,etp_bullish_pullback_near_ema21_close_reclaim,15m_trend_bullish|5m_confirmation_bullish|1m_ema_alignment_long|pullback_near_ema21|close_reclaim_long|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,22.434947,-32.801001
TRD-SIG-BT-00000002,SIG-BT-00000002,BTCUSDT,ema_trend_pullback_v1,bullish,long,1704167160000,1704167220000,45473.692920,45413.710991,45422.795551,45626.385028,0.24388723,-14.628827,8.866511,12.196572,-35.691910,3.000000,2,stop_loss,etp_bullish_pullback_near_ema21_close_reclaim,15m_trend_bullish|5m_confirmation_bullish|1m_ema_alignment_long|pullback_near_ema21|close_reclaim_long|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,20.578119,-32.182553
TRD-SIG-BT-00000003,SIG-BT-00000003,BTCUSDT,ema_trend_pullback_v1,bullish,long,1704182460000,1704182580000,45540.006180,45483.731156,45492.829722,45681.535554,0.26123175,-14.700823,9.511316,13.083205,-37.295344,3.000000,3,stop_loss,etp_bullish_pullback_near_ema21_close_reclaim,15m_trend_bullish|5m_confirmation_bullish|1m_ema_alignment_long|pullback_near_ema21|close_reclaim_long|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,18.078031,-31.349857
TRD-SIG-BT-00000004,SIG-BT-00000004,BTCUSDT,ema_trend_pullback_v1,bullish,long,1704184560000,1704184980000,45766.851540,45680.609131,45689.747080,45998.164919,0.15862572,-13.680264,5.802368,7.983043,-27.465675,3.000000,8,stop_loss,etp_bullish_pullback_near_ema21_close_reclaim,15m_trend_bullish|5m_confirmation_bullish|1m_ema_alignment_long|pullback_near_ema21|close_reclaim_long|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,37.541685,-37.832552
TRD-SIG-BT-00000005,SIG-BT-00000005,BTCUSDT,ema_trend_pullback_v1,bearish,short,1704294000000,1704294000000,42195.659180,42271.328227,42262.875652,41994.009764,0.18093908,-13.691487,6.113351,8.401066,-28.205905,3.000000,1,stop_loss,etp_bearish_pullback_near_ema21_close_reclaim,15m_trend_bearish|5m_confirmation_bearish|1m_ema_alignment_short|pullback_near_ema21|close_reclaim_short|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,34.789138,-36.943658
TRD-SIG-BT-00000006,SIG-BT-00000006,BTCUSDT,ema_trend_pullback_v1,bullish,long,1704404340000,1704404340000,44381.874600,44311.409099,44320.273154,44566.678938,0.19628714,-13.831471,6.963740,9.579984,-30.375195,3.000000,1,stop_loss,etp_bullish_pullback_near_ema21_close_reclaim,15m_trend_bullish|5m_confirmation_bullish|1m_ema_alignment_long|pullback_near_ema21|close_reclaim_long|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,28.639597,-34.867563
TRD-SIG-BT-00000007,SIG-BT-00000007,BTCUSDT,ema_trend_pullback_v1,bullish,long,1704448140000,1704448140000,44141.026440,44087.863763,44096.683100,44274.056461,0.27096816,-14.405393,9.562888,13.154013,-37.122294,3.000000,1,stop_loss,etp_bullish_pullback_near_ema21_close_reclaim,15m_trend_bullish|5m_confirmation_bullish|1m_ema_alignment_long|pullback_near_ema21|close_reclaim_long|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,17.137501,-31.036598
TRD-SIG-BT-00000008,SIG-BT-00000008,BTCUSDT,ema_trend_pullback_v1,bearish,short,1704474180000,1704474540000,43316.035060,43106.741194,43388.672890,43098.121570,0.16414075,34.353652,5.674200,4.259087,24.420366,3.000000,7,take_profit,etp_bearish_pullback_near_ema21_close_reclaim,15m_trend_bearish|5m_confirmation_bearish|1m_ema_alignment_short|pullback_near_ema21|close_reclaim_short|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,37.307811,34.346861
TRD-SIG-BT-00000009,SIG-BT-00000009,BTCUSDT,ema_trend_pullback_v1,bullish,long,1704719160000,1704719940000,45025.403280,44938.549390,44947.538898,45258.996426,0.15390707,-13.367428,5.538435,7.620027,-26.525889,3.000000,14,stop_loss,etp_bullish_pullback_near_ema21_close_reclaim,15m_trend_bullish|5m_confirmation_bullish|1m_ema_alignment_long|pullback_near_ema21|close_reclaim_long|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,38.880301,-38.278400
TRD-SIG-BT-0000000A,SIG-BT-0000000A,BTCUSDT,ema_trend_pullback_v1,bullish,long,1704728760000,1704728880000,45018.301860,44887.844961,44896.824326,45382.734463,0.09810509,-12.798485,3.528100,4.855617,-21.182202,3.000000,3,stop_loss,etp_bullish_pullback_near_ema21_close_reclaim,15m_trend_bullish|5m_confirmation_bullish|1m_ema_alignment_long|pullback_near_ema21|close_reclaim_long|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,67.952099,-47.961248
TRD-SIG-BT-0000000B,SIG-BT-0000000B,BTCUSDT,ema_trend_pullback_v1,bullish,long,1704743520000,1704744480000,46907.979720,46830.370913,46839.738861,47112.702298,0.17386370,-13.493355,6.519079,8.968455,-28.980889,3.000000,17,stop_loss,etp_bullish_pullback_near_ema21_close_reclaim,15m_trend_bullish|5m_confirmation_bullish|1m_ema_alignment_long|pullback_near_ema21|close_reclaim_long|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,30.643444,-35.534978
TRD-SIG-BT-0000000C,SIG-BT-0000000C,BTCUSDT,ema_trend_pullback_v1,bullish,long,1704750420000,1704750660000,47141.826480,47068.549471,47077.965064,47333.410728,0.18465228,-13.530767,6.958464,9.572624,-30.061855,3.000000,5,stop_loss,etp_bullish_pullback_near_ema21_close_reclaim,15m_trend_bullish|5m_confirmation_bullish|1m_ema_alignment_long|pullback_near_ema21|close_reclaim_long|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,27.639971,-34.534621
TRD-SIG-BT-0000000D,SIG-BT-0000000D,BTCUSDT,ema_trend_pullback_v1,bullish,long,1704815820000,1704816300000,46894.176960,46805.112619,46814.475514,47133.281298,0.14701116,-13.093452,5.509936,7.580745,-26.184133,3.000000,9,stop_loss,etp_bullish_pullback_near_ema21_close_reclaim,15m_trend_bullish|5m_confirmation_bullish|1m_ema_alignment_long|pullback_near_ema21|close_reclaim_long|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,37.988066,-37.981227
TRD-SIG-BT-0000000E,SIG-BT-0000000E,BTCUSDT,ema_trend_pullback_v1,bearish,short,1704891660000,1704891720000,44420.614100,44597.184042,44588.266389,43917.657232,0.06949825,-12.271303,2.474633,3.398324,-18.144260,3.000000,2,stop_loss,etp_bearish_pullback_near_vwap_close_reclaim,15m_trend_bearish|5m_confirmation_bearish|1m_ema_alignment_short|pullback_near_vwap|close_reclaim_short|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,100.226005,-58.773398
TRD-SIG-BT-0000000F,SIG-BT-0000000F,BTCUSDT,ema_trend_pullback_v1,bullish,long,1704928920000,1704929040000,47485.795260,47315.389600,47324.854571,47968.617328,0.07211464,-12.288744,2.734622,3.764405,-18.787770,3.000000,3,stop_loss,etp_bullish_pullback_near_ema21_close_reclaim,15m_trend_bullish|5m_confirmation_bullish|1m_ema_alignment_long|pullback_near_ema21|close_reclaim_long|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,88.677157,-54.864075
TRD-SIG-BT-00000010,SIG-BT-00000010,BTCUSDT,ema_trend_pullback_v1,bullish,long,1704976380000,1704976680000,47122.322580,47295.639292,47061.396669,47305.100313,0.18972570,32.882635,7.165406,5.370767,20.346462,3.000000,6,take_profit,etp_bullish_pullback_near_ema21_close_reclaim,15m_trend_bullish|5m_confirmation_bullish|1m_ema_alignment_long|pullback_near_ema21|close_reclaim_long|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,25.787929,22.758102
TRD-SIG-BT-00000011,SIG-BT-00000011,BTCUSDT,ema_trend_pullback_v1,bullish,long,1704983100000,1704983460000,47635.525200,47521.825561,47531.331827,47948.105318,0.11142818,-12.669343,4.241284,5.836199,-22.746827,3.000000,7,stop_loss,etp_bullish_pullback_near_ema21_close_reclaim,15m_trend_bullish|5m_confirmation_bullish|1m_ema_alignment_long|pullback_near_ema21|close_reclaim_long|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,52.619119,-42.854343
TRD-SIG-BT-00000012,SIG-BT-00000012,BTCUSDT,ema_trend_pullback_v1,bearish,short,1705072800000,1705073100000,44999.398320,44761.659334,45081.628163,44752.708792,0.14049900,33.402089,5.044535,3.786743,24.570810,3.000000,6,take_profit,etp_bearish_pullback_near_vwap_close_reclaim,15m_trend_bearish|5m_confirmation_bearish|1m_ema_alignment_short|pullback_near_vwap|close_reclaim_short|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,41.820628,38.863289
TRD-SIG-BT-00000013,SIG-BT-00000013,BTCUSDT,ema_trend_pullback_v1,bearish,short,1705144320000,1705144560000,42657.466800,42725.599021,42717.055610,42478.700371,0.19491306,-13.279860,6.656910,9.148603,-29.085372,3.000000,5,stop_loss,etp_bearish_pullback_near_ema21_close_reclaim,15m_trend_bearish|5m_confirmation_bearish|1m_ema_alignment_short|pullback_near_ema21|close_reclaim_short|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,28.907418,-34.981516
TRD-SIG-BT-00000014,SIG-BT-00000014,BTCUSDT,ema_trend_pullback_v1,bearish,short,1705274340000,1705275420000,42060.486220,41831.486407,42139.607699,41823.121782,0.14587599,33.405574,4.895130,3.674689,24.835755,3.000000,19,take_profit,etp_bearish_pullback_near_ema21_close_reclaim,15m_trend_bearish|5m_confirmation_bearish|1m_ema_alignment_short|pullback_near_ema21|close_reclaim_short|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,43.434069,40.478021
TRD-SIG-BT-00000015,SIG-BT-00000015,BTCUSDT,ema_trend_pullback_v1,bearish,short,1705332480000,1705332540000,42333.331640,42384.276263,42375.801103,42205.923251,0.27323193,-13.919698,9.259022,12.726283,-35.905003,3.000000,2,stop_loss,etp_bearish_pullback_near_ema21_close_reclaim,15m_trend_bearish|5m_confirmation_bearish|1m_ema_alignment_short|pullback_near_ema21|close_reclaim_short|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,17.096471,-31.041384
TRD-SIG-BT-00000016,SIG-BT-00000016,BTCUSDT,ema_trend_pullback_v1,bullish,long,1705423440000,1705424520000,43189.536180,43122.994841,43131.621165,43363.281224,0.19881288,-13.229275,6.864017,9.442653,-29.535946,3.000000,19,stop_loss,etp_bullish_pullback_near_ema21_close_reclaim,15m_trend_bullish|5m_confirmation_bullish|1m_ema_alignment_long|pullback_near_ema21|close_reclaim_long|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,27.228504,-34.397575
TRD-SIG-BT-00000017,SIG-BT-00000017,BTCUSDT,ema_trend_pullback_v1,bearish,short,1705501980000,1705502400000,42464.905320,42528.106349,42519.602429,42300.813993,0.20915933,-13.219085,7.110833,9.772768,-30.102686,3.000000,8,stop_loss,etp_bearish_pullback_near_ema21_close_reclaim,15m_trend_bearish|5m_confirmation_bearish|1m_ema_alignment_short|pullback_near_ema21|close_reclaim_short|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,25.641633,-33.892050
TRD-SIG-BT-00000018,SIG-BT-00000018,BTCUSDT,ema_trend_pullback_v1,bearish,short,1705505460000,1705505580000,42592.779740,42654.275291,42645.746141,42433.880536,0.21457290,-13.195278,7.316683,10.055820,-30.567782,3.000000,3,stop_loss,etp_bearish_pullback_near_ema21_close_reclaim,15m_trend_bearish|5m_confirmation_bearish|1m_ema_alignment_short|pullback_near_ema21|close_reclaim_short|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,24.306606,-33.446685
TRD-SIG-BT-00000019,SIG-BT-00000019,BTCUSDT,ema_trend_pullback_v1,bearish,short,1705508820000,1705509780000,42436.511000,42311.197811,42481.102246,42302.737263,0.25316034,31.724329,8.581903,6.439601,16.702824,3.000000,17,take_profit,etp_bearish_pullback_near_ema21_close_reclaim,15m_trend_bearish|5m_confirmation_bearish|1m_ema_alignment_short|pullback_near_ema21|close_reclaim_short|atr_bps_in_range|volume_ratio_ok|reward_risk_ok|expected_reward_ok|expected_net_edge_ok|direction_enabled|confidence_ok,,18.523265,15.547286
