month,trades,wins,losses,win_rate,gross_pnl,fee,slippage,total_cost,net_pnl,profit_factor,avg_win,avg_loss,expectancy,max_consecutive_losses,avg_reward_risk,avg_expected_edge_bps,avg_actual_edge_bps,avg_edge_realization_bps,avg_total_cost_bps,take_profit_count,stop_loss_count,time_exit_count,end_of_backtest_count
2024-01,293,114,179,38.907850,-393.283411,1187.199275,1353.152361,2540.351637,-2933.635048,0.765405,4.397226,-19.189490,-10.012406,10,1.500000,12.904343,-19.255758,-32.160101,17.053502,114,179,0,0
2024-02,185,68,117,36.756757,-150.428389,366.023395,419.444493,785.467888,-935.896277,0.705013,1.831180,-9.063389,-5.058899,8,1.500000,11.700373,-20.319914,-32.020287,17.161276,68,117,0,0
2024-03,367,139,228,37.874659,-112.286828,305.723465,348.365468,654.088933,-766.375761,0.740256,0.850736,-3.879948,-2.088217,7,1.500000,12.673507,-20.031217,-32.704724,17.105307,139,228,0,0
2024-04,315,113,202,35.873016,-44.283159,88.999779,103.050060,192.049840,-236.332998,0.656152,0.269159,-1.320534,-0.750263,9,1.500000,11.843293,-20.776637,-32.619930,17.206885,113,202,0,0
2024-05,172,62,110,36.046512,-9.937475,21.713961,25.062409,46.776370,-56.713845,0.672148,0.111940,-0.578674,-0.329732,7,1.500000,10.973372,-20.637427,-31.610798,17.196329,62,110,0,0
2024-06,81,26,55,32.098765,-4.163615,6.690851,7.861831,14.552681,-18.716297,0.564242,0.063287,-0.370214,-0.231065,7,1.500000,9.838974,-22.469959,-32.308933,17.394945,26,55,0,0
2024-07,211,74,137,35.071090,-4.881327,10.257573,11.850568,22.108141,-26.989468,0.663279,0.045814,-0.221749,-0.127912,7,1.500000,11.173404,-20.901309,-32.074712,17.222152,74,136,1,0
2024-08,336,108,228,32.142857,-3.870265,6.104011,7.167221,13.271231,-17.141496,0.607104,0.023629,-0.086375,-0.051016,13,1.500000,15.154451,-22.736819,-37.891270,17.393773,108,228,0,0
2024-09,215,88,127,40.930233,-0.363206,1.646298,1.846642,3.492940,-3.856146,0.833748,0.007429,-0.035511,-0.017936,10,1.500000,11.792118,-18.464592,-30.256710,16.952845,88,127,0,0
2024-10,159,52,107,32.704403,-0.416708,0.694645,0.810467,1.505111,-1.921819,0.585263,0.003515,-0.019669,-0.012087,13,1.500000,10.211779,-22.483320,-32.695099,17.363506,52,107,0,0
2024-11,292,110,182,37.671233,-0.216015,0.589049,0.672052,1.261102,-1.477117,0.735051,0.001936,-0.009286,-0.005059,9,1.500000,11.655388,-19.730964,-31.386352,17.115854,110,182,0,0
2024-12,270,102,168,37.777778,-0.078650,0.218240,0.249359,0.467599,-0.546249,0.738581,0.000786,-0.003729,-0.002023,13,1.500000,11.338792,-19.673218,-31.012010,17.110572,102,168,0,0
