trade_id,signal_id,month,symbol,strategy_id,regime,side,entry_time,exit_time,duration_ms,entry_price,exit_price,stop_loss,take_profit,qty,gross_pnl,fee,slippage,total_cost,net_pnl,reward_risk,bars_held,exit_reason,expected_edge_bps,actual_edge_bps,edge_realization_bps,fee_bps,slippage_bps,total_cost_bps,net_pnl_bps,filters_passed,filters_failed,entry_reason
TRD-SIG-BT-00000164,SIG-BT-00000164,2024-01,BTCUSDT,screened_vwap_scalp,bullish,long,1704155280000,1704156420000,1140000,44704.539120,44867.922837,44589.633056,44876.898216,0.108785,17.773618,3.897639,2.921452,6.819091,10.954527,1.500000,20,take_profit,25.555167,22.525526,-3.029641,8.014619,6.007311,14.021930,22.525526,screening_bullish|confirmation_bullish_or_neutral|pullback_near_vwap_or_ema21|reclaim_above_ema8_or_vwap|atr_valid|volume_acceptable,,"15m bullish, 5m bullish, 1m pullback near VWAP/EMA21 and reclaim above EMA8/VWAP"
TRD-SIG-BT-00000165,SIG-BT-00000165,2024-01,BTCUSDT,screened_vwap_scalp,bullish,long,1704156600000,1704156840000,240000,44775.053220,44889.077723,44693.050477,44898.057335,0.152768,17.419283,5.479120,4.107599,9.586719,7.832564,1.500000,5,take_profit,14.471573,11.450798,-3.020775,8.010186,6.005094,14.015281,11.450798,screening_bullish|confirmation_bullish_or_neutral|pullback_near_vwap_or_ema21|reclaim_above_ema8_or_vwap|atr_valid|volume_acceptable,,"15m bullish, 5m bullish, 1m pullback near VWAP/EMA21 and reclaim above EMA8/VWAP"
TRD-SIG-BT-00000166,SIG-BT-00000166,2024-01,BTCUSDT,screened_vwap_scalp,bullish,long,1704157920000,1704157980000,60000,45102.118620,44975.958944,44984.955935,45277.862647,0.107090,-13.510457,3.858589,5.310289,9.168878,-22.679335,1.500000,2,stop_loss,25.965803,-46.955222,-72.921026,7.988811,10.994405,18.983216,-46.955222,screening_bullish|confirmation_bullish_or_neutral|pullback_near_vwap_or_ema21|reclaim_above_ema8_or_vwap|atr_valid|volume_acceptable,,"15m bullish, 5m bullish, 1m pullback near VWAP/EMA21 and reclaim above EMA8/VWAP"
TRD-SIG-BT-00000167,SIG-BT-00000167,2024-01,BTCUSDT,screened_vwap_scalp,bullish,long,1704159300000,1704159300000,0,44974.793160,44894.417757,44903.398437,45081.885245,0.174947,-14.061409,6.288928,8.652197,14.941125,-29.002534,1.500000,1,stop_loss,10.811579,-36.860488,-47.672067,7.992852,10.996425,18.989277,-36.860488,screening_bullish|confirmation_bullish_or_neutral|pullback_near_vwap_or_ema21|reclaim_above_ema8_or_vwap|atr_valid|volume_acceptable,,"15m bullish, 5m bullish, 1m pullback near VWAP/EMA21 and reclaim above EMA8/VWAP"
TRD-SIG-BT-00000168,SIG-BT-00000168,2024-01,BTCUSDT,screened_vwap_scalp,bullish,long,1704159600000,1704159600000,0,44903.878980,44989.813472,44840.589477,44998.813235,0.196206,16.860840,7.055063,5.289612,12.344675,4.516165,1.500000,1,take_profit,8.141660,5.125948,-3.015712,8.007655,6.003828,14.011483,5.125948,screening_bullish|confirmation_bullish_or_neutral|pullback_near_vwap_or_ema21|reclaim_above_ema8_or_vwap|atr_valid|volume_acceptable,,"15m bullish, 5m bullish, 1m pullback near VWAP/EMA21 and reclaim above EMA8/VWAP"
TRD-SIG-BT-00000169,SIG-BT-00000169,2024-01,BTCUSDT,screened_vwap_scalp,bullish,long,1704159720000,1704160020000,300000,44923.782960,44846.969802,44855.940990,45025.545914,0.183206,-14.072629,6.578615,9.050521,15.629135,-29.701764,1.500000,6,stop_loss,9.652356,-36.088291,-45.740647,7.993161,10.996580,18.989740,-36.088291,screening_bullish|confirmation_bullish_or_neutral|pullback_near_vwap_or_ema21|reclaim_above_ema8_or_vwap|atr_valid|volume_acceptable,,"15m bullish, 5m bullish, 1m pullback near VWAP/EMA21 and reclaim above EMA8/VWAP"
TRD-SIG-BT-00000170,SIG-BT-00000170,2024-01,BTCUSDT,screened_vwap_scalp,bullish,long,1704160140000,1704160140000,0,44862.070620,44791.903134,44800.863307,44953.881590,0.201852,-14.163425,7.238722,9.958200,17.196922,-31.360347,1.500000,1,stop_loss,7.465165,-34.631330,-42.096496,7.993744,10.996871,18.990615,-34.631330,screening_bullish|confirmation_bullish_or_neutral|pullback_near_vwap_or_ema21|reclaim_above_ema8_or_vwap|atr_valid|volume_acceptable,,"15m bullish, 5m bullish, 1m pullback near VWAP/EMA21 and reclaim above EMA8/VWAP"
TRD-SIG-BT-00000171,SIG-BT-00000171,2024-01,BTCUSDT,screened_vwap_scalp,bullish,long,1704160380000,1704160620000,240000,44868.471900,44951.122403,44807.376883,44960.114426,0.200939,16.607745,7.219319,5.412830,12.632149,3.975596,1.500000,5,take_profit,7.424704,4.409566,-3.015138,8.007368,6.003685,14.011053,4.409566,screening_bullish|confirmation_bullish_or_neutral|pullback_near_vwap_or_ema21|reclaim_above_ema8_or_vwap|atr_valid|volume_acceptable,,"15m bullish, 5m bullish, 1m pullback near VWAP/EMA21 and reclaim above EMA8/VWAP"
TRD-SIG-BT-00000172,SIG-BT-00000172,2024-01,BTCUSDT,screened_vwap_scalp,bullish,long,1704160680000,1704160680000,0,44979.794160,44911.939491,44920.923676,45068.099886,0.208701,-14.161347,7.504203,10.323235,17.827438,-31.988785,1.500000,1,stop_loss,6.632310,-34.076537,-40.708847,7.993966,10.996982,18.990948,-34.076537,screening_bullish|confirmation_bullish_or_neutral|pullback_near_vwap_or_ema21|reclaim_above_ema8_or_vwap|atr_valid|volume_acceptable,,"15m bullish, 5m bullish, 1m pullback near VWAP/EMA21 and reclaim above EMA8/VWAP"
TRD-SIG-BT-00000196,SIG-BT-00000196,2024-01,BTCUSDT,screened_vwap_scalp,bullish,long,1704164460000,1704164520000,60000,45363.070800,45295.091742,45304.152572,45451.448141,0.207175,-14.083540,7.512830,10.335071,17.847901,-31.931441,1.500000,2,stop_loss,6.482222,-33.976559,-40.458781,7.994006,10.997002,18.991008,-33.976559,screening_bullish|confirmation_bullish_or_neutral|pullback_near_vwap_or_ema21|reclaim_above_ema8_or_vwap|atr_valid|volume_acceptable,,"15m bullish, 5m bullish, 1m pullback near VWAP/EMA21 and reclaim above EMA8/VWAP"
TRD-SIG-BT-00000197,SIG-BT-00000197,2024-01,BTCUSDT,screened_vwap_scalp,bullish,long,1704164580000,1704164640000,60000,45292.856760,45221.962699,45231.008900,45385.628549,0.196070,-13.900229,7.098912,9.765869,16.864781,-30.765010,1.500000,2,stop_loss,7.482654,-34.642979,-42.125633,7.993739,10.996869,18.990608,-34.642979,screening_bullish|confirmation_bullish_or_neutral|pullback_near_vwap_or_ema21|reclaim_above_ema8_or_vwap|atr_valid|volume_acceptable,,"15m bullish, 5m bullish, 1m pullback near VWAP/EMA21 and reclaim above EMA8/VWAP"
TRD-SIG-BT-00000198,SIG-BT-00000198,2024-01,BTCUSDT,screened_vwap_scalp,bullish,long,1704164760000,1704165780000,1020000,45262.150620,45351.788477,45196.343934,45360.860650,0.183106,16.413264,6.636796,4.975957,11.612753,4.800511,1.500000,18,take_profit,8.808515,5.792270,-3.016245,8.007922,6.003962,14.011883,5.792270,screening_bullish|confirmation_bullish_or_neutral|pullback_near_vwap_or_ema21|reclaim_above_ema8_or_vwap|atr_valid|volume_acceptable,,"15m bullish, 5m bullish, 1m pullback near VWAP/EMA21 and reclaim above EMA8/VWAP"
TRD-SIG-BT-00000315,SIG-BT-00000315,2024-01,BTCUSDT,screened_vwap_scalp,bullish,long,1704180540000,1704180660000,120000,45501.398460,45429.749822,45438.837590,45595.239766,0.192798,-13.813731,7.012546,9.647085,16.659631,-30.473362,1.500000,3,stop_loss,7.623829,-34.737021,-42.360850,7.993701,10.996850,18.990552,-34.737021,screening_bullish|confirmation_bullish_or_neutral|pullback_near_vwap_or_ema21|reclaim_above_ema8_or_vwap|atr_valid|volume_acceptable,,"15m bullish, 5m bullish, 1m pullback near VWAP/EMA21 and reclaim above EMA8/VWAP"
TRD-SIG-BT-00000316,SIG-BT-00000316,2024-01,BTCUSDT,screened_vwap_scalp,bullish,long,1704180720000,1704180720000,0,45450.588300,45380.470911,45389.548820,45542.147519,0.196356,-13.767940,7.134074,9.814170,16.948244,-30.716184,1.500000,1,stop_loss,7.144782,-34.417912,-41.562694,7.993829,10.996914,18.990743,-34.417912,screening_bullish|confirmation_bullish_or_neutral|pullback_near_vwap_or_ema21|reclaim_above_ema8_or_vwap|atr_valid|volume_acceptable,,"15m bullish, 5m bullish, 1m pullback near VWAP/EMA21 and reclaim above EMA8/VWAP"
TRD-SIG-BT-00000317,SIG-BT-00000317,2024-01,BTCUSDT,screened_vwap_scalp,bullish,long,1704181560000,1704182340000,780000,45535.805340,45468.765023,45477.860595,45622.722457,0.205517,-13.777950,7.481208,10.291483,17.772691,-31.550640,1.500000,14,stop_loss,6.087642,-33.713716,-39.801358,7.994111,10.997055,18.991166,-33.713716,screening_bullish|confirmation_bullish_or_neutral|pullback_near_vwap_or_ema21|reclaim_above_ema8_or_vwap|atr_valid|volume_acceptable,,"15m bullish, 5m bullish, 1m pullback near VWAP/EMA21 and reclaim above EMA8/VWAP"
TRD-SIG-BT-00000603,SIG-BT-00000603,2024-01,BTCUSDT,screened_vwap_scalp,bearish,short,1704289560000,1704289680000,120000,42524.693360,42408.988341,42607.483441,42400.508239,0.142889,16.532951,4.854429,3.642475,8.496904,8.036047,1.500000,3,take_profit,16.203061,13.225226,-2.977835,7.989116,5.994559,13.983676,13.225226,screening_bearish|confirmation_bearish_or_neutral|pullback_near_vwap_or_ema21|reject_below_ema8_or_vwap|atr_valid|volume_acceptable,,"15m bearish, 5m bearish, 1m pullback near VWAP/EMA21 and reject below EMA8/VWAP"
