trade_id,signal_id,symbol,strategy_id,regime,side,entry_time,exit_time,entry_price,exit_price,stop_loss,take_profit,qty,gross_pnl,fee,slippage,net_pnl,reward_risk,bars_held,exit_reason,entry_reason,filters_passed,filters_failed,expected_edge_bps,actual_edge_bps
TRD-SIG-BT-00000164,SIG-BT-00000164,BTCUSDT,screened_vwap_scalp,bullish,long,1704155280000,1704156420000,44704.539120,44867.922837,44589.633056,44876.898216,0.10878451,17.773618,3.897639,2.921452,10.954527,1.500000,20,take_profit,"15m bullish, 5m bullish, 1m pullback near VWAP/EMA21 and reclaim above EMA8/VWAP",screening_bullish|confirmation_bullish_or_neutral|pullback_near_vwap_or_ema21|reclaim_above_ema8_or_vwap|atr_valid|volume_acceptable,,25.555167,22.525526
TRD-SIG-BT-00000165,SIG-BT-00000165,BTCUSDT,screened_vwap_scalp,bullish,long,1704156600000,1704156840000,44775.053220,44889.077723,44693.050477,44898.057335,0.15276789,17.419283,5.479120,4.107599,7.832564,1.500000,5,take_profit,"15m bullish, 5m bullish, 1m pullback near VWAP/EMA21 and reclaim above EMA8/VWAP",screening_bullish|confirmation_bullish_or_neutral|pullback_near_vwap_or_ema21|reclaim_above_ema8_or_vwap|atr_valid|volume_acceptable,,14.471573,11.450798
TRD-SIG-BT-00000166,SIG-BT-00000166,BTCUSDT,screened_vwap_scalp,bullish,long,1704157920000,1704157980000,45102.118620,44975.958944,44984.955935,45277.862647,0.10709013,-13.510457,3.858589,5.310289,-22.679335,1.500000,2,stop_loss,"15m bullish, 5m bullish, 1m pullback near VWAP/EMA21 and reclaim above EMA8/VWAP",screening_bullish|confirmation_bullish_or_neutral|pullback_near_vwap_or_ema21|reclaim_above_ema8_or_vwap|atr_valid|volume_acceptable,,25.965803,-46.955222
TRD-SIG-BT-00000167,SIG-BT-00000167,BTCUSDT,screened_vwap_scalp,bullish,long,1704159300000,1704159300000,44974.793160,44894.417757,44903.398437,45081.885245,0.17494667,-14.061409,6.288928,8.652197,-29.002534,1.500000,1,stop_loss,"15m bullish, 5m bullish, 1m pullback near VWAP/EMA21 and reclaim above EMA8/VWAP",screening_bullish|confirmation_bullish_or_neutral|pullback_near_vwap_or_ema21|reclaim_above_ema8_or_vwap|atr_valid|volume_acceptable,,10.811579,-36.860488
TRD-SIG-BT-00000168,SIG-BT-00000168,BTCUSDT,screened_vwap_scalp,bullish,long,1704159600000,1704159600000,44903.878980,44989.813472,44840.589477,44998.813235,0.19620573,16.860840,7.055063,5.289612,4.516165,1.500000,1,take_profit,"15m bullish, 5m bullish, 1m pullback near VWAP/EMA21 and reclaim above EMA8/VWAP",screening_bullish|confirmation_bullish_or_neutral|pullback_near_vwap_or_ema21|reclaim_above_ema8_or_vwap|atr_valid|volume_acceptable,,8.141660,5.125948
TRD-SIG-BT-00000169,SIG-BT-00000169,BTCUSDT,screened_vwap_scalp,bullish,long,1704159720000,1704160020000,44923.782960,44846.969802,44855.940990,45025.545914,0.18320596,-14.072629,6.578615,9.050521,-29.701764,1.500000,6,stop_loss,"15m bullish, 5m bullish, 1m pullback near VWAP/EMA21 and reclaim above EMA8/VWAP",screening_bullish|confirmation_bullish_or_neutral|pullback_near_vwap_or_ema21|reclaim_above_ema8_or_vwap|atr_valid|volume_acceptable,,9.652356,-36.088291
TRD-SIG-BT-00000170,SIG-BT-00000170,BTCUSDT,screened_vwap_scalp,bullish,long,1704160140000,1704160140000,44862.070620,44791.903134,44800.863307,44953.881590,0.20185168,-14.163425,7.238722,9.958200,-31.360347,1.500000,1,stop_loss,"15m bullish, 5m bullish, 1m pullback near VWAP/EMA21 and reclaim above EMA8/VWAP",screening_bullish|confirmation_bullish_or_neutral|pullback_near_vwap_or_ema21|reclaim_above_ema8_or_vwap|atr_valid|volume_acceptable,,7.465165,-34.631330
TRD-SIG-BT-00000171,SIG-BT-00000171,BTCUSDT,screened_vwap_scalp,bullish,long,1704160380000,1704160620000,44868.471900,44951.122403,44807.376883,44960.114426,0.20093943,16.607745,7.219319,5.412830,3.975596,1.500000,5,take_profit,"15m bullish, 5m bullish, 1m pullback near VWAP/EMA21 and reclaim above EMA8/VWAP",screening_bullish|confirmation_bullish_or_neutral|pullback_near_vwap_or_ema21|reclaim_above_ema8_or_vwap|atr_valid|volume_acceptable,,7.424704,4.409566
TRD-SIG-BT-00000172,SIG-BT-00000172,BTCUSDT,screened_vwap_scalp,bullish,long,1704160680000,1704160680000,44979.794160,44911.939491,44920.923676,45068.099886,0.20870114,-14.161347,7.504203,10.323235,-31.988785,1.500000,1,stop_loss,"15m bullish, 5m bullish, 1m pullback near VWAP/EMA21 and reclaim above EMA8/VWAP",screening_bullish|confirmation_bullish_or_neutral|pullback_near_vwap_or_ema21|reclaim_above_ema8_or_vwap|atr_valid|volume_acceptable,,6.632310,-34.076537
TRD-SIG-BT-00000196,SIG-BT-00000196,BTCUSDT,screened_vwap_scalp,bullish,long,1704164460000,1704164520000,45363.070800,45295.091742,45304.152572,45451.448141,0.20717468,-14.083540,7.512830,10.335071,-31.931441,1.500000,2,stop_loss,"15m bullish, 5m bullish, 1m pullback near VWAP/EMA21 and reclaim above EMA8/VWAP",screening_bullish|confirmation_bullish_or_neutral|pullback_near_vwap_or_ema21|reclaim_above_ema8_or_vwap|atr_valid|volume_acceptable,,6.482222,-33.976559
