key,trades,wins,losses,win_rate,net_pnl,gross_pnl,total_fee,total_slippage,avg_net_pnl,avg_expected_edge_bps,avg_actual_edge_bps,avg_bars_held
passed:atr_bps_in_range,42,5,37,11.904762,-1061.635548,-344.045927,312.625693,404.963928,-25.277037,17.421829,-27.589750,10.333333
passed:confidence_ok,42,5,37,11.904762,-1061.635548,-344.045927,312.625693,404.963928,-25.277037,17.421829,-27.589750,10.333333
passed:confirmation_bearish,22,2,20,9.090909,-573.680092,-205.691339,159.066617,208.922137,-26.076368,18.102939,-29.204230,9.636364
passed:confirmation_bullish,20,3,17,15.000000,-487.955456,-138.354589,153.559076,196.041791,-24.397773,16.672609,-25.813821,11.100000
passed:direction_enabled,42,5,37,11.904762,-1061.635548,-344.045927,312.625693,404.963928,-25.277037,17.421829,-27.589750,10.333333
passed:ema_ribbon_long,20,3,17,15.000000,-487.955456,-138.354589,153.559076,196.041791,-24.397773,16.672609,-25.813821,11.100000
passed:ema_ribbon_short,22,2,20,9.090909,-573.680092,-205.691339,159.066617,208.922137,-26.076368,18.102939,-29.204230,9.636364
passed:expected_net_edge_ok,42,5,37,11.904762,-1061.635548,-344.045927,312.625693,404.963928,-25.277037,17.421829,-27.589750,10.333333
passed:expected_reward_ok,42,5,37,11.904762,-1061.635548,-344.045927,312.625693,404.963928,-25.277037,17.421829,-27.589750,10.333333
passed:near_vwap_or_ema21,42,5,37,11.904762,-1061.635548,-344.045927,312.625693,404.963928,-25.277037,17.421829,-27.589750,10.333333
passed:screening_bearish,22,2,20,9.090909,-573.680092,-205.691339,159.066617,208.922137,-26.076368,18.102939,-29.204230,9.636364
passed:screening_bullish,20,3,17,15.000000,-487.955456,-138.354589,153.559076,196.041791,-24.397773,16.672609,-25.813821,11.100000
passed:volume_ratio_ok,42,5,37,11.904762,-1061.635548,-344.045927,312.625693,404.963928,-25.277037,17.421829,-27.589750,10.333333
